0,1,2
20181124,10,자크의 매력 난 한눈에 알겠던데. 왜 모르지?무심하고 일중독에 먹는거가지고도 잔소리하는마이클하고는 상반되게 여유를 즐길줄알고여자가 무엇을 좋아하고 원하는지 정확히 파악하고 기억 해뒀다가 적재적소에 감동을 안겨주잖아.  
20181011,1,ㅋㅋ ㅠ ㅋ ㅎ 노 잼 ㅠ ㅠ ㅎ ㅎ ㅋ  
20180813,4,"만약 정말 마음에 안드는 사람이 저렇게 관광 시켜 준다고, 질질 끌고 했으면, 상당히 짜증 났을 상황이, 관객으로 하여금 답답하게 만들었을것 같다. 다만, 나름의 프랑스 음식 소개 및 배경등을 열심히 표현 해줬다는 데에서, 조금은 볼만하다.  "
20180803,7,"프랑스 영상미는 좋았고, 남자는 내내 불편함 ㅋㅋ  "
20180727,10,저런 멋진 대머리라면 어느 누군들 반하지 않겠어요~^^  
20180723,10,프랑스 여행한것 같았어요! 두배우들 케미도 좋고매력있는 좋은영화였어요!  
20180721,6,결국은 52세여자는 52세바람둥이를 만난.. 마지막에 장미를 갖고 안올라왔으면 더 좋았을뻔했네요ㅜㅜ  
20180712,8,파리 여행 한 것 같았어요.  
20180612,10,함께 프랑스 곳곳을 여행한 기분.. 눈이 호강한 기분이네요 입가에 미소가 지어지는 영화!  
20180610,10,다이안 레인은 여자가 봐도 너무 매력있네요...볼거리가 많은 영화 좋습니다..  
20180603,6,"길을 재촉하는 Anne에게 Jacques가 던지는 대사 'Paris can wait'(영어 제목이기도 하다.)처럼, 목표든 발생한 문제든 어차피 그곳에 있을 테니 조금은 여유를 가지고 살아갈 필요가 있을 것 같다.  "
20180518,10,프랑스 칸에서 파리까지 여행할수있는 영화.  
20180517,7,관람객마지막 장면이 좋아요 ...  
20180514,4,똥차로 돈많은 여자 태워주면서 빈대붙으면서 파리가기  
20180425,7,프랑스를 보는것에 만족  다이안레인의 자연스런 나이들어가는것이 보기 좋아요  우아하고 고급스럽네요  
20180423,6,자크는 그러지 말아어야 했다!  
20180422,3,호불호가 확실하게 갈리는 영화. 프랑스에 풍경이나 음식에 대한 묘사는 좋지만 그것때문에 영화를 볼 정도인지는 잘 모르겠네요. 그냥 여행관련 프로나 유튜브 동영상을 보는 쪽이 10배는 재미있는 것 같습니다.  
20180406,3,평점믿고 티비로봤는데.. 30분쯤보다가 평점다시확인하러 들어옴!! 빨리감기로 겨우끝냄.주인공들 감정에 전혀 공감할 수없었음.나같으면 첨부터 개수작에 바로 비행기타고 혼자파리갔을듯..공감이 안되서 보는내내 불편했음.  
20180329,8,잔잔하게 커피 한 잔의 여유가느껴지는 깔끔한 영화..나에겐 그랬다ㅋ  
20180318,6,관람객프로방스 관광청의 긴 광고  
20180310,5,관람객파리의 명소를 구경할 수는 있지만 스토리는 별로였어요.  
20180301,8,마지막이 무언가 아쉬웠지만 좋은영화!  
20180301,8,왜 자크처럼 음식가이드 해주면 같이다닐만하겠다 그들간에 사랑은 됐고 음식의 종류가 더많지않으면 아쉽다  
20180301,8,지적이고 아름답게 나이든 여자의 일탈...그리고 많은 여운....아름다운 프랑스는 덤.  
20180225,8,"꽤 괜찮은 영화였습니다. 50대 , 인생의 모든걸 지난 성숙한사람들이 1박2일동안 서로의 맘을 열었다. 딱 거기까지.  "
20180224,10,마지막에 그냥 웃음이 나면서 뭔가 기분이 즐거워지는 영화. 잔잔하게 오감을 자극하는 신선한 영화  
20180222,10,삶이 얼마나 약하고 산다는게 얼마나 고통스러우면서도 멋진가를 보여주는 영화였다.  
20180221,4,"관람객진부한 스토리, 풍경조차 제대로 담은 곳이 없는, 제작비 안 들인  영화. 이런 것에 넘어가는 게 중년 여심?  "
20180220,6,"프로방스에서 리옹, 브르고뉴를 거쳐 파리 까지의 식도락 여행..프랑스인들이 본다면 소름끼쳐할 닭살스러운 대사들..  "
20180215,10,잔잔하니 잼있네요^^  
20180209,8,관람객심심할 때 볼 만한 영화.  
20180207,1,잔잔하게 힐링되는 영화인줄 알고 봤는데.. 집에서 남는 시간에 보기에도 너무 지루하고 재미없음.. 딱 프랑스판 식샤를 합시다 그이상도 이하도 아님.. 게다가 대놓고 들이데는 자크땜에 속이 니글니글.. 로맨스로 가장하기엔 너무 느끼하고 배우가 매력없음  
20180202,9,다시 보고 싶은 영화입니다.  
20180131,10,낭만적인 와중에 돈문제도 깔끔하게  
20180131,1,관람객OOO 영화. 여자들 바람들게 하는 영화  
20180129,10,관람객아무생각없이 편안히 볼수 있었던 영화 나름 의미있었던 결미  
20180128,10,"앤과 쟈크 사이의 미묘한 감정 선을 프랑스 밴드 피닉스의 음악으로 잔잔히 보여주는.. 감성자극 여행 로맨스와 더불어 남프랑스의 풍경, 와인과 음식들의 향연!  "
20180127,10,"잔잔하고,기분이묘하게좋아지는건뭘까?  "
20180125,8,영화로써는 좋았다 그의 친절이 첨엔 좀 과하고 거북했는데 점점 세심하게 앤을 배려해주는 그 마음이 고마워졌다 실제라면 안될일.하지만 그녀의 남편은 무조건 깨달아야한다 소중한 사람을 지키고 배려하는 법을.프랑스 풍경과 명작 명소를 직접 관광하는 기분!  
20180125,7,프랑스 간접여행..설마했는데 결국은 넘어가다..^  
20180121,9,자잔하고 아름다은 프랑스를 느낄 수 있는 영화. 보니까 와인이 땡긴다. 정확한 평점은 8.5  
20180118,7,보는 내내 다이안레인에게 홀렸다. 우아하고 지적이고 스타일리쉬한 언니...워너비임. 내용은 가볍지만 음식과 여행에 대한 매력을 한껏 보여줌  
20180111,1,이런 지멋대로인 남자에게 빠지다니..  
20180110,7,관람객아름다운 미식여행을 꿈꾸게 하는 영화  
20180110,9,여행의 여유가 느껴져서  좋았어요. 여주인공도 멋스럽고~  
20180110,6,패키지 여행 잘 다녀오셨나요?  
20180108,7,결말에 브륄레는 자크를 만나러 갈까요 안 갈까요 궁금해지네요. 자크가 좀 더 멋졌다면 더 몰입해서 볼 수 있었을거에요...  
