0,1,2
20190127,10,그들이 있었기에 반군이 희망을 가질 수 있었습니다.  
20190127,10,레아공주 살짝 웃으며 Hope! 할때 울컥 ㅠㅠ  
20190127,9,주인공들을 다 죽여버리다니...처음이다 스타워즈  
20190127,10,오리지날 스타워즈 팬을 위한 멋진 영화  
20190126,10,와 진짜 개재밌다 데스스타 설계도를 반란군이 어떻게 얻게되었는지 알수있었던 영화였다  
20190123,9,한편의 SF영화로도 명작인데 스타워즈 팬들은...특히 엔딩은 말이 필요없다  
20190122,7,다스베이더가 스타워즈의 진정한 주인공이지. 4편으로 통하는 든든한 다리.  
20190120,7,마지막 그 장면을 보기 위해 쭉 보는 영화  
20190119,10,스타워즈 456편 다시 정주행하게 만드는 영화... 정말 명작이다  
20190119,1,1편2편이후는 전부 맘에 안듬 그만 좀 만들라고  
20190119,10,스타워즈 시리즈 중에 제일 재밌음. (내생각)  
20190118,10,라스트 제다이 이전과 이후 평가가 다른 영화오늘도 다시보고 재평가 하고 갑니다  
20190118,10,"국민학교다니기전부터 막내외삼촌따라 극장가서 4,5,6편 보고 커서 1,2,3편 전부 극장가서 본 덕후로써 티비로본 7편보다 로그원 그짧은 전율의 엔딩이 날 놀라게했다 티비에 또하면 제대로 다시봐야지ㅋ  "
20190118,10,SF 영화에서 비장미와 여운을 느끼다니  
20190118,10,3편과 4편의 자연스러운 연결고리...주연들의 희생과  라스트신이 압권!  
20190117,10,그놈의 집구석 사랑싸움에 우주가 난리법석... 콩가루 집구석 때문에 대체 얼마나 많은 사람들이 죽는거야...  
20190116,10,영화 감상이 취미.. 지금까지 수천편의 영화 감상.. 그 중 가장 좋아하는 장르가 SF... SF 보고 감동 받아 울어 보기는 처음..  
20190116,10,스타워즈 팬으로써 정말 소름끼칠듯한 명작이었다 보는내내 정말 횐호성도 지르고 너무 감격해 눈물이 계속 흘렀다 7은 이런식으로 나왔어야해 !!! 로그2도 언젠가 나오길!!!!  
20190116,10,레아공주 마지막 등장은 cg인가요? 뭉클했네요  
20190116,4,"그나마 좀 나은 스타워즈. 형은 스타워즈 만화 말고는 도저히 끝까지 못보긋더라. 노잼, 캐릭 난무,어지럽다. 애니가 단순하고 볼만하더라. 최근 스타워즈 극장판은 거의 안봄. 지루하고 긴 러닝 타임도 불만. 그나마 이건 끝까지 봐줄만. 견자단이 살림  "
20190115,9,시리즈 전작들 다 보고 보면 매우 재밌어요  
20190113,9,스타워즈 원작의 향수를 느낄만한 연출을 훌륭하게 섞어놓음.  
20190113,10,극장에서 보고 오랜만에 재탕했는데SF영화에 감동받기는 또 오랜만인듯다스베이더 분량이 작아서 아쉬웠지만 마지막 장면하나로 레알 소름 공주등장은 cg기술의 발전에 놀라울뿐로그원의 마지막 장면과 bgm은...  
20190113,10,평론가 말이 너무 웃기네 첨보는 사람한테는 당연히 이해가 안되지 해리포터나 헝거게임도 그렇게 따지면 똑같지 ㅋㅋ  
20190113,10,TV OCN방송에서 첫 방송 했는데 아무 생각없이 보다가 SF공상과학영화 보고갑자기 울기는 처음 ㅠ 대박 감동과 스토리 액션어릴때 456 보고 그 추억으로 본 123은 그다지 잼 없었는데이번 건 다시 추억이 떠오르고 가슴이 벅차올랐다  
20190113,10,와 진짜 지금 재방송해줘서 다시 봤는데 로그원 명작이다  
20190113,10,역대급 스타워즈. 감독의 역량인가. 극장에서 못본 게 뼈아프다  
20190113,10,수준 높은 스타워즈..라스트 제다이가 반만 따라갔어도..ㅠ  
20190113,8,올모스트 최고의 스타워즈. 특히 마지막 전투씬은 시리즈 통틀어 최고  
20190113,9,스타워즈 시리즈 중 최고  
20190113,10,다스베이더와 광선검 그리고 레아공주...  
20190113,7,모르겠고 스타워즈7보다 재미있었다  
20190112,10,"역대급~ 다시 시작한 스타워즈 본시리즈 7, 8보다 훨 낫다~ 다스베이더의 카리스마!!  "
20190109,9,관람객에피소드 5 다음으로 잘 만들어진 스타워즈  
20181228,8,스타워즈가 이런 감동적인 스토리를 만들 수 있다는 것을 증명한 영화. 승리를 위해서는 희생이 필요하다.  
20181225,8,"스타워즈의 위대함이 포스와 광선검에만 있는 것이 아님을 보여주는, 잘 만든 스타워즈 영화. 스타워즈의 간판과 설정을 이용만 하는 대신 스타워즈의 세계를 좀 더 풍부하게 만들어주는 재미있고 멋진 작품이다. 모든 팬들을 실신시킬 마지막 장면도 단연 압권.  "
20181225,9,스타워즈 시리즈 중에서 제일이다  
20181218,10,다시봐도 명작이며 슬프고 장엄한 스토리이다 마지막에 다스베이더 씬으로만 봐도 돈을낼 가치가 충분이 되는영화 낮은 평점준 사람들은 스타워즈에 대한 스토리를 이해못한거임 4편의희망편 이전이야기 데스스타 약점 캐내는스토리인데 대채 뭘생각하면서 본거임?  
20181215,10,"역대 최고의 스타워즈 영화! 7,8이 로그원 반의 반만 따라갔어도...  "
20181209,7,비록 악이 지배하는 세상에서도 희망을 잃어선 안돼  
20181128,10,관람객역대 스타워즈 시리즈 중 세손가락 안에 꼽을만한 수작.  
20181123,9,최고의 프랜차이즈는 역시 스타워즈!그리고 스타워즈의 주인공은 역시 다스 베이더!  
20181120,10,광선검이 영웅한테 밥 먹여주는 건 아니잖아? 광선검을 들지 않은 스타워즈 세계관 속 진정한 영웅들의 이야기  
20181116,10,"3편과 4편 사이를 이어주는 완벽한 개연성....타킨 총독,레아 공주,다스베이더를 다시 보게 되다니....  "
20181102,6,꼭 필요한 내용이긴 하나..너무 졸리다. 기본적으로 재미가 있어야지  
20181022,8,"초중반부는 솔직히 엉성해요, 근데 후반부가 영화를 다 살려놨습니다 ㄹㅇ  "
20181015,8,"초반에는 별루였는대,, 중반부부터 잼있어지네요..  "
20181003,10,외전이라서 안보구 있다가 라스트 제다이 보고 봤는데 무슨 외전이 본편보다 설정을 지키냐 라제는 정말 쓰레기다. 초반 전투에서 느려터진 폭격기로 공격하는데 저항군의 전투 스타일은 빠른 공격으로 거대 전함을 격추다. 자살 카미카제 돌격은 잊을 수 없다.  
20180928,10,"은하 내전의 진정한 영웅들, 로그 원  "
20180927,10,견자단이 출연하여 약간 어색하긴 하지만 그래도 잘 어울려진다.. 만족  
20180926,10,크하  이것도 명작이구만  
20180924,10,스타워즈 시리즈중 젤 명작..  
20180916,7,근데 꼭 그렇게 다죽여야만했나  
20180830,10,속편이지만 스토리가 너무 마음에 든다.그리고 마지막에 다스베이더가 아주...  
