0,1,2
20170328,10,"바른 이미지의 임시완의 이미지 변신이 정말 기대가 되는 영화입니다. 선공개된 비하인드외 여러 영상, 그리고 비하인드컷 등을 보았는데 임시완의 완벽한 이미지 변신이 놀랍습니다. 능글맞은 모습과 열일하는 얼굴까지! 흥미진진한 스토리도 정말 기대가 됩니다.  "
20170328,10,운좋게 친구와 시사회로 봤는데 임시완 진구 박병은 다 완전 연기에 미침~ 나머지 조연분들도 대박이더라구요~ 새로운 얼굴들이 연기도 잘하니낀 영화에 더 몰입할 수 있게 하더라구요. 내용도 신선해서 시간 가는 줄 모르고 즐감했네요~  
20170328,10,"시사회에서 봤습니다. 요즘 막나가는 한국 영화들 틈에서 간만에 개연성 있는 영화가 나왔네요. 얘기가 촘촘하고,  배우들 연기도너무 좋더라구요. 특히 임시완은 남자로서 부럽더군요. 얼굴에, 연기에, 목소리까지. 암튼 영화 정말 재밌습니다! 강추!  "
20170328,7,"시사회 보고 왔는데, 교훈이 있는 영화는 아니지만 재밌어요! 전개가 늘어지지 않고 배우들이 다들 연기를 잘함  "
20170327,10,우연히 친구따라 시사회보고왔어용제2의 범죄의재구성감독님 연출 세런되고 배우분들 캐릭터 너무들 멋지고 재밌네요~~^ㅇ^  
20170327,7,재미는 있을거 같은데..  
20170327,1,....배우가별로다  
20170327,1,알바 참 많이 썻네 이영화 재미없는 삼류영화다에 내손모가지건다.  
20170327,10,임시완진구만으로도이미1천만예약기대하고있는관계자들  
20170327,9,장그래 입사후 몇년...도저히 월급쟁이에겐 빛이 보이지않고그는 돌이킬수 없는 선택을 하고마는데..  
20170326,10,잘몰랐는데 박병은씨 연기력 정말대단하네요.영화도 재밌고 지루할 틈이 없어요 .다른 영화 흥행하면 그 스토리로 따라가는 영화도 아니여서 좋았고요 .신선한 내용이였습니다 .개봉하면 한번 더 보러가야겠어요 ^^  
20170326,10,다른 범죄영화들과 얼마나 다를까 하며 시사회 초대 받아서 봤는데 너무 재미있게 보고 왔어요. 가볍지도 무겁지도 않게 현실적인 내용을 잘 풀어가더라구요. 배우들 연기가 좋아서 그런지 코믹하지 않은데도 너무 웃기고 ㅎㅎ 적극 추천합니다!  
20170326,3,시사회 다녀왔는데 솔직히 스토리 개연성 다 떨어집니다남는게 하나 없네요..  
20170325,10,임시완 진구  믿고 보는 배우~꼭 보겠습니다  
20170325,5,쏘쏘인 영화. 추천하진 않는다.  
20170325,4,흠 저는 시사회로 보고 왔지만 킬링타임용이고요 .. 그리고 돈 안주고 봐도 좀 .. 그런 영화였는데 돈주고 보면 완전 아까울꺼같아요 ㅠ 재미가 없지는 않은데 어딘가 ... 영화가 그저 그럽니다  
20170325,10,배우들 연기력좋구 재미도 있어요 추천드립니다.  
20170325,10,배우들의 열연이 돋보이는 쿨한 영화  
20170325,8,사이즈 좋음 ~ 시간과 돈은 재미로 보장 ~ 신선한 내용 약간은 진부하지만 지루하지 않은 전개  
20170325,10,시사회를 통해서 미리 본 사람입니다! 여러분 보세요! 두번보세요! 세번 보세요정말 재밌고 의미도 있습니다!저는 친구랑 기대 안하고 봤다가 너무 재밌어서 개봉 후에 부모님과 다시 한번 보려구요!ㅎㅎ모든 배우들의 합이 정말 좋았던 영화 인 것 같네요  
20170325,10,재밌었어요 전혀 모르던 영화인데 시사회 당첨되서 가서보고.. 공*보다 한 100배는 탄탄한 스토리와 반전이.. 끝까지 긴장을 놓지 않게 했던거 같습니다. 감독이 각본까지 같이 했다고 하던데.. 그래서 그런가. 더 스토리가 탄탄한 거 같습니다.  
20170325,10,"관객과의 밀당에 노련한 영화 같아요. 치고 빠지면서 지루할틈을 주질 않네요. 우리는 흔히 더럽다고 욕하지만, 그 욕망이 바로 내 안에도 있지 않나 싶고 인간답고자 하는 것도 결국 또다른 욕망은 아닌가 하는 생각. 꽉차고 재밌는 오랜만에 접한 웰메이드.  "
20170325,10,시사회 다녀왔는데 재밌게 보고 왔어요~ 시간 금방가고 유쾌하게 걱정없이 보기 딱 좋아요!!  
20170325,9,오늘 시사회보고왔음 딱 한국영화의 기승전결이지만 재밌음 ㅋㅋ 여러생각 하게만듬 별점이 하나 줄어든이유는 음향이 너무큼.. 특정장면에서 귀가찢어질듯 너무큼 ㅠ  
20170325,10,오늘 시사회로 보고왔습니다. 연기구멍이 정말 한명도 없고 스토리도 지루하지 않습니다. 너무 재미있어요!!!  
20170325,10,시사회 - 시나리오 죽이고..박병은 진구 임시완 이동휘 김선영 연기 죽이고...건달유망주. 검사형님.. 경찰아저씨 조연들은 미쳤고..대박느낌  
20170324,10,시사회 다녀왔는데 볼만했네요 유치하긴 해도 스토리와 결말도 제 취향이였어요 평점 8.1점 전문가 평점 6점대 예상해봅니다.  
20170324,10,시사회 보고왔어요~! 출연진 모두 연기가 좋아서 정말 집중해서 재밌게 봤어요! 극추천요!☆  
20170324,10,재미있었는데 각 주연배우들의 임팩트가 크게 있지는 않았어요  
20170324,10,캐릭터들이 살아있고 영화 전개도 빠르고 구성이 치밀하여 재밌습니다~  
20170324,10,재미있고 짜릿한 영화에요배우들 연기도 최고!  
20170324,10,시사회초대로 별기대 안하고 봤는데 재밌게 보고나옴. 거의 모든배우들 각자 캐릭터 연기도 좋았음. 박병은 정말 나쁘지만 잘생김.  
20170324,10,"스토리 , 연출 다 짜임새 있어 좋았습니다  물론 이 영화는 배우들의 발견과 재발견이  가장 커다란 비중일 것 같습니다. 캐릭터들의  특색과 그걸 표현하는 모든배우들을 보면서 큰 종합선물세트 받은 것 같아요! 즐거운 관람이였습니다  "
20170324,10,기대안하고 봤는데 너무 재미있었어요  
20170324,10,"131분 상영시간이 전~혀 지루하지 않아요! 보는 내내 집중하게 되고, 정말 배우 한명한명이 돋보입니다. 강추!!  "
20170324,8,영화 마스터랑 좀 비슷.  
20170324,8,한 마디로 유쾌! 상쾌! 통쾌! 한 영화 :) 임시완 보러갔다가 진구에게 반해 돌아옵니다...  
20170324,4,맨날 이런 영화만 만들고...김치의 한계다 검경조폭안나오는 한국영화가 보고싶다  
20170324,10,함께 간 그녀가 딱 한마디로 정리했습니다. 공조 마스터보다 훌륭하다 최근에 본 한국영화 중 쵝오!!!  어제 밤에 본 영화인데 아직도 여운이 남네요.  코미디영화 아니예요 웰메이드 드라마입니다 그런데 무지 웃깁니다 ㅋ  
20170324,10,솔직히 어렵게 꽈둔 다른 한국영화보다 현실성있는 사기범을 다뤘는데 배우 한명한명이 다 캐릭터가 인팩트있고 ㅠㅠㅠ연기를 너무잘해서 집중하며 봤어요ㅜㅜ 뭉클한 감동도 있고 임시완 배우로서 진짜 깨끗한마스크에ㅠ 진구의 멋짐과 눈호강했습니다  
20170324,10,재밌게 잘봣습니다~~ 신선하고 새로운영화 이면서 많은걸 생각하게 하는 영화인듯합니다 추천합니다  
20170323,10,진짜 재미있어요 ㅠㅠ 계속웃었습니다!  
20170323,8,투자자님이 시사회 무료티켓 주셔서 보구집에가는길 진구님 시완님 ㅋㅋ좋타 재미지게보구 왓어욤ㅋㅋㅋ  
20170323,10,"너무 재미있네요. 보는 내내 긴장하고 봐서 시간가는줄도 몰랐네요. 배우분들 연기도 좋고, 메세지도 좋고, 음악도 좋네요.  "
20170323,10,깔끔하게 잘 빠진 영화 임시완의 매력 좋다  
20170322,10,스토리가 재밌겠네 보고싶다  
20170322,1,"변기유천 동생 박유환, 대체 얘가 왜 주인공인지 의문가는 호빗 임시완.. 배우는 이제 개나소나 다 하는 직업  "
20170321,9,기대되네요 !!!! 식상한 범죄 영화를 어떻게 풀어낼지.  배우진구성만 봐도 흥미진진!  
20170321,10,기대되는 영화입니다. 개봉일 기다리고 있어요.  
20170321,10,평이 꽤 좋네요~~임시완씨 비롯 모두 연기  잘 하신것같고 재밌다고 하니 무척 기대됩니다!!  
20170320,10,원라인 기대되네요예고편보니 완전잼있네요  
20170320,10,포스터 누가 만들었나TT 에휴~~~  
20170320,10,개봉하자마자 보러 달려갑니다!  
20170320,1,평점이높아서패스하고미녀야수  
20170320,10,예상치 못한 한 방!이  있다!  
20170320,10,믿고보는 임시완~ 무조건 본다  
20170320,10,임시완이면본다!!!  
20170320,10,더할 나위 없었다Yes  
20170319,10,임시완.... 미생에서 너무 인상깊어서 기대한다..  
20170319,2,"재밌는영화지만 은행대출사기때문에 전문사기꾼이 악사회에 배울 영향을 미칠 문제있어 안봄-.,-;;  "
20170319,10,양경모 감독님 떨 때부터 팬입니다~ 이번 작품도 기대 많이 되네요~^^ 잼껫당~!!!!  
20170319,1,사기조장하는 쓰레기영화  근데 예고편만봐도 개허접 해서 일주일만에 IPTV 에나 풀릴 만한 수준  
20170318,2,예고편 느낌도 없는데ㅡㅡ 이건 폭망기운~ 예고편 업그레이드 하면 모를까? 쪽박 기운이 넘침..  
20170318,10,꿀잼 예약이요. 진짜재밌을것같아  
20170318,1,망할거가튼이느낌은뭐지  
20170318,10,지금 sbs 영화공작소에서 소개되고 있는데 재미있을 것 같네요 ㅋㅋ  
20170317,10,배우들 와  무조건 본다!@  
20170317,1,은행이 호구인줄아나 ㅋㅋㅋㅋ 말이 되는 스토리를 써라...  
20170316,10,시완씨 사랑해요...  
20170316,10,"new 기대작, 제발 이번은 소기의 목표를 달성하시길!  "
20170314,10,역시 믿고 보는 임시완!!  
20170314,10,오랜만에 한국영화볼까..ㅋㅋㅋ  
20170313,10,장그래가 회사생활이 너무 힘들었나.. 사기를 치고 다니네  
