rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,997923900,49.1,-82224350,-7.6,20960702124,129636,-11070,-7.9,2637562,1431,7315,2017-11-01
2,2,0,OLD,20172742,범죄도시,2017-10-03,484800300,23.9,-60658100,-11.1,49537155304,64455,-8802,-12,6057149,728,3153,2017-11-01
3,3,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,163485500,8.1,7824800,5,2018343600,21004,876,4.4,259484,189,901,2017-11-01
4,4,0,OLD,20173694,지오스톰,2017-10-19,93288600,4.6,-14691100,-13.6,8366214421,12792,-1984,-13.4,1011971,462,1239,2017-11-01
5,5,0,OLD,20164424,대장 김창수,2017-10-19,36897600,1.8,1843400,5.3,2833495615,5347,-146,-2.7,374290,316,546,2017-11-01
6,6,23,OLD,20070454,원스,2007-09-20,37443100,1.8,35000600,1433,1631456600,4909,4536,1216.1,239296,136,399,2017-11-01
7,7,-1,OLD,20165450,남한산성,2017-10-03,23035400,1.1,-8458000,-26.9,31150223892,3296,-1469,-30.8,3838167,215,342,2017-11-01
8,8,1,OLD,20176767,"나는 내일, 어제의 너와 만난다",2017-10-12,17068000,0.8,1936000,12.8,1281290100,2756,305,12.4,165632,127,293,2017-11-01
9,9,4,OLD,20174142,아이 캔 스피크,2017-09-21,15255900,0.8,2992100,24.4,25444455686,2365,489,26.1,3264836,80,112,2017-11-01
10,10,-2,OLD,20175208,뷰티풀 투모로우,2017-10-26,17772900,0.9,-3242000,-15.4,298670900,2204,-461,-17.3,34357,37,76,2017-11-01
1,1,30,OLD,20172603,부라더,2017-11-02,746500200,27.1,744460200,36493.1,940741900,100941,100601,29588.5,125883,712,3426,2017-11-02
2,2,-1,OLD,20175121,토르: 라그나로크,2017-10-25,783942000,28.4,-213981900,-21.4,21744644124,99572,-30064,-23.2,2737134,1000,4818,2017-11-02
3,3,38,OLD,20169643,침묵,2017-11-02,420845300,15.3,419791300,39828.4,478576200,57510,57378,43468.2,63842,612,2581,2017-11-02
4,4,-2,OLD,20172742,범죄도시,2017-10-03,343228200,12.4,-141572100,-29.2,49880383504,45275,-19180,-29.8,6102424,550,1947,2017-11-02
5,5,0,NEW,20173724,직쏘,2017-11-02,142638500,5.2,142638500,100,148014500,17581,17581,100,18253,171,762,2017-11-02
6,6,-3,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,89061400,3.2,-74424100,-45.5,2107405000,11352,-9652,-46,270836,182,576,2017-11-02
7,7,-1,OLD,20070454,원스,2007-09-20,22474100,0.8,-14969000,-40,1653930700,2986,-1923,-39.2,242282,143,328,2017-11-02
8,8,18,OLD,20173806,노 게임 노 라이프 -제로-,2017-10-19,22324400,0.8,18501400,483.9,547280000,2985,2515,535.1,66619,46,64,2017-11-02
9,9,29,OLD,20173612,메소드,2017-11-02,21924900,0.8,20370900,1310.9,39399400,2857,2700,1719.7,5092,238,399,2017-11-02
10,10,29,OLD,20177342,내게 남은 사랑을,2017-11-02,14573500,0.5,13691500,1552.3,62678500,2181,2034,1383.7,8395,143,209,2017-11-02
1,1,1,OLD,20175121,토르: 라그나로크,2017-10-25,1395246040,34.8,611304040,78,23139890164,162641,63069,63.3,2899775,1017,4965,2017-11-03
2,2,-1,OLD,20172603,부라더,2017-11-02,1053391476,26.3,306891276,41.1,1994133376,130102,29161,28.9,255985,759,3632,2017-11-03
3,3,1,OLD,20172742,범죄도시,2017-10-03,530506840,13.3,187278640,54.6,50410890344,62666,17391,38.4,6165090,575,2036,2017-11-03
4,4,-1,OLD,20169643,침묵,2017-11-02,493607624,12.3,72762324,17.3,972183824,60910,3400,5.9,124752,630,2661,2017-11-03
5,5,0,OLD,20173724,직쏘,2017-11-02,152756400,3.8,10117900,7.1,300770900,17034,-547,-3.1,35287,166,743,2017-11-03
6,6,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,142242300,3.6,53180900,59.7,2249647300,16539,5187,45.7,287375,187,598,2017-11-03
7,7,0,OLD,20070454,원스,2007-09-20,30964700,0.8,8490600,37.8,1684895400,3691,705,23.6,245973,145,327,2017-11-03
8,8,1,OLD,20173612,메소드,2017-11-02,21552600,0.5,-372300,-1.7,60952000,2520,-337,-11.8,7612,244,392,2017-11-03
9,9,5,OLD,20173694,지오스톰,2017-10-19,13364560,0.3,5000060,59.8,8387943481,1853,624,50.8,1015053,90,126,2017-11-03
10,10,-2,OLD,20173806,노 게임 노 라이프 -제로-,2017-10-19,14003000,0.3,-8321400,-37.3,561283000,1610,-1375,-46.1,68229,44,51,2017-11-03
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,3127486767,40.1,1732240727,124.2,26267376931,365000,202359,124.4,3264775,1047,5189,2017-11-04
2,2,0,OLD,20172603,부라더,2017-11-02,2051485060,26.3,998093584,94.8,4045618436,249687,119585,91.9,505672,884,4183,2017-11-04
3,3,0,OLD,20172742,범죄도시,2017-10-03,939860367,12.0,409353527,77.2,51350750711,109027,46361,74,6274117,610,2179,2017-11-04
4,4,0,OLD,20169643,침묵,2017-11-02,780123440,10.0,286515816,58,1752307264,93390,32480,53.3,218142,634,2633,2017-11-04
5,5,1,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,253803000,3.3,111560700,78.4,2503450300,30180,13641,82.5,317555,196,576,2017-11-04
6,6,-1,OLD,20173724,직쏘,2017-11-02,207242500,2.7,54486100,35.7,508013400,22803,5769,33.9,58090,175,682,2017-11-04
7,7,8,OLD,20174902,신서유기 : 몽키킹의 부활,2017-11-02,42463300,0.5,35260800,489.6,55410900,5737,4790,505.8,7458,212,293,2017-11-04
