period,ratio
2017-09-27,44.51991
2017-09-28,46.48164
2017-09-29,50.22582
2017-09-30,55.65592
2017-10-01,55.02499
2017-10-02,76.97983
2017-10-03,100.0
2017-10-04,85.43699
2017-10-05,65.97483
2017-10-06,63.75452
2017-10-07,55.6835
2017-10-08,44.0786
2017-10-09,46.01965
2017-10-10,26.05757
2017-10-11,23.59248
2017-10-12,35.41803
2017-10-13,38.18996
2017-10-14,27.75728
2017-10-15,27.96069
2017-10-16,21.20668
2017-10-17,28.7709
2017-10-18,24.09239
2017-10-19,55.9007
2017-10-20,20.25512
2017-10-21,18.34511
2017-10-22,20.24133
2017-10-23,21.79968
2017-10-24,40.05861
2017-10-25,54.61816
2017-10-26,19.72418
2017-10-27,17.82796
