period,ratio,1
2017-12-27,100.0,1960
2017-12-28,30.61379,1542
2017-12-29,25.28996,1209
2017-12-30,30.3104,1447
2017-12-31,29.550990000000002,1455
2018-01-01,29.7776,1493
2018-01-02,33.93408,1242
2018-01-03,18.40514,951
2018-01-04,15.90518,780
2018-01-05,15.038210000000001,694
2018-01-06,24.36563,1175
2018-01-07,25.92363,1302
2018-01-08,29.71746,956
2018-01-09,15.362789999999999,664
2018-01-10,12.213,584
2018-01-11,10.73668,591
2018-01-12,12.925880000000001,615
2018-01-13,19.20405,1158
2018-01-14,18.21657,1439
2018-01-15,10.52936,672
2018-01-16,8.69566,557
2018-01-17,7.689539999999999,505
2018-01-18,6.3060599999999996,372
2018-01-19,6.15375,241
2018-01-20,12.44977,483
2018-01-21,8.14166,565
2018-01-22,5.61437,292
2018-01-23,4.04455,181
2018-01-24,3.29451,160
2018-01-25,3.07838,137
2018-01-26,3.10036,145
2018-01-27,11.116610000000001,172
