,Rate,director,movieCd,movieNm
0,0,연상호,20168323,염력
1,0,최성현,20176104,그것만이 내 세상
2,0,애덤 로비텔,20178126,인시디어스4: 라스트 키
3,0,리 언크리치,20179985,코코
4,0,김용화,20150976,신과함께-죄와 벌
5,0,웨스 볼,20175054,메이즈 러너: 데스 큐어
6,0,니콜라이 퓰시,20178395,12 솔져스
7,0,장준환,20170590,1987
8,0,노엘 클리어리,20179228,마야2
9,0,김석윤,20179205,조선명탐정: 흡혈괴마의 비밀
10,0,리들리 스콧,20178469,올 더 머니
11,0,제임스 카메론,19980074,타이타닉
12,0,마틴 캠벨,20189901,더 포리너
13,0,폴 킹,20178672,패딩턴 2
14,0,홍헌표,20189761,터닝메카드W: 반다인의 비밀 특별판
15,0,임순례,20170841,리틀 포레스트
16,0,라이언 쿠글러,20170561,블랙 팬서
17,0,노동석,20168250,골든슬럼버
18,0,조근현,20176121,흥부: 글로 세상을 바꾼 자
19,0,야마모토 야스이치로,20078561,명탐정 코난:감벽의 관
20,0,마이클 그레이시,20179462,위대한 쇼맨
21,0,변성현,20164844,불한당: 나쁜 놈들의 세상
22,0,토미 위르콜라,20177946,월요일이 사라졌다
23,0,제임스 폴리,20180542,50가지 그림자: 해방
24,0,기예르모 델 토로,20173436,셰이프 오브 워터: 사랑의 모양
25,0,등위봉,20189882,반딧불이 딘딘
26,0,홍창표,20150969,궁합
27,0,히로키 류이치,20179731,나미야 잡화점의 기적
28,0,프란시스 로렌스,20180341,레드 스패로
29,0,스티븐 스필버그,20189861,더 포스트
30,0,신재호,20189663,게이트
31,0,양우석,20170402,강철비
32,0,유야마 쿠니히코,20174965,극장판 포켓몬스터 너로 정했다!
33,0,호거 태프,20176082,몬스터 패밀리
34,0,스티븐 크보스키,20176947,원더
35,0,김현호,20174846,뽀로로 극장판 공룡섬 대모험
36,0,모리와키 마코토,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리
37,0,라이언 존슨,20170443,스타워즈: 라스트 제다이
38,0,제이크 캐스단,20171909,쥬만지: 새로운 세계
39,0,카를로스 살다나,20177104,페르디난드
40,0,신카이 마코토,20161872,너의 이름은.
41,0,알렉산더 페인,20173547,다운사이징
42,0,신보 아키유키,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?"
43,0,미츠나카 스스무,20179286,하이큐!! 콘셉트의 싸움
44,0,조 라이트,20178228,다키스트 아워
45,0,---,20189525,젝스키스 에이틴
46,0,하시모토 히로유키,20178808,주문은 토끼입니까?? ~디어 마이 시스터~
47,0,리처드 클라우스,20173662,리틀 뱀파이어
48,0,자움 콜렛 세라,20178230,커뮤터
49,0,홍기선,20168161,1급기밀
50,0,이성재,20177473,비밥바룰라
51,0,토마스 아스트뤽,20178444,극장판 레이디버그: 미라클스톤의 비밀
52,0,장창원,20165748,꾼
53,0,장항준,20173581,기억의 밤
54,0,케네스 브래너,20178581,오리엔트 특급 살인
55,0,김홍선,20161762,반드시 잡는다
56,0,길 정거,20040695,이프 온리
57,0,잭 스나이더,20168221,저스티스 리그
58,0,도로타 코비엘라,20179942,러빙 빈센트
59,0,타이카 와이티티,20175121,토르: 라그나로크
60,0,크리스토퍼 랜던,20174622,해피 데스데이
61,0,롭 라이너,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들
62,0,우테 폰 뮌쇼폴,20175223,래빗 스쿨
63,0,벤자민 레너,20174073,빅 배드 폭스
64,0,유영의,20170272,산상수훈
65,0,조영준,20175441,채비
66,0,후쿠다 유이치,20175903,은혼
67,0,요네바야시 히로마사,20174585,메리와 마녀의 꽃
68,0,마이클 쿠에스타,20173693,어쌔신: 더 비기닝
69,0,데이미언 셔젤,20167904,라라랜드
70,0,저스틴 채드윅,20175481,튤립 피버
71,0,고로 사쿠라,20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~
72,0,이와이 슌지,20000067,러브레터
73,0,리차드 커티스,20030404,러브 액츄얼리
74,0,티모시 렉카트,20176022,더 크리스마스
75,0,짐 자무쉬,20176049,패터슨
76,0,강윤성,20172742,범죄도시
77,0,츠키카와 쇼,20171024,너의 췌장을 먹고 싶어
78,0,딘 데블린,20173694,지오스톰
79,0,이원태,20164424,대장 김창수
80,0,존 카니,20070454,원스
81,0,황동혁,20165450,남한산성
82,0,미키 타카히로,20176767,"나는 내일, 어제의 너와 만난다"
83,0,김현석,20174142,아이 캔 스피크
84,0,장재혁,20175208,뷰티풀 투모로우
85,0,장유정,20172603,부라더
86,0,정지우,20169643,침묵
87,0,피터 스피어이그,20173724,직쏘
88,0,이시즈카 아츠코,20173806,노 게임 노 라이프 -제로-
89,0,방은진,20173612,메소드
90,0,진광교,20177342,내게 남은 사랑을
91,0,텐 샤오펑,20174902,신서유기 : 몽키킹의 부활
92,0,캘런 브런커,20171817,넛잡 2
93,0,이안규,20161681,미옥
94,0,나타우트 푼프리야,20173804,배드 지니어스
95,0,마크 웹,20173931,리빙보이 인 뉴욕
96,0,타케모토 노보루,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 
97,0,이용승,20168754,7호실
98,0,스도 토모노리,20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워
99,0,루이스 프리에토,20174222,키드냅
100,0,김홍선,20173903,역모-반란의 시대
101,0,미츠나카 스스무,20174778,하이큐!! 재능과 센스
102,0,타파스 차크라바르티,20175288,피터와 모글리의 크리스마스 어드벤처
103,0,매튜 본,20175222,킹스맨: 골든 서클
104,0,우시로 신지,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!
105,0,찰리 빈,20170364,레고 닌자고 무비
106,0,원신연,20154909,살인자의 기억법
107,0,패트릭 휴즈,20171962,킬러의 보디가드
108,0,에드가 라이트,20171090,베이비 드라이버
109,0,제이미 미첼,20172627,리틀 프린세스 소피아 : 신비한 섬
110,0,오리올 파울로,20173945,인비저블 게스트
111,0,이상호,20166132,김광석
112,0,줄리오 소토 거피드,20170964,딥
113,0,안드레이 갈랏,20171369,매직울프
114,0,드니 빌뇌브,20168282,블레이드 러너 2049
115,0,곽경택,20154907,희생부활자
116,0,마이크 밀스,20171312,우리의 20세기
117,0,마크 웹,20173092,어메이징 메리
118,0,전진,20169463,다시 태어나도 우리
119,0,해리 클레븐,20172942,나의 엔젤
120,0,니키 카로,20175943,주키퍼스 와이프
121,0,뤽 베송,20158047,발레리안: 천 개 행성의 도시
122,0,대런 아로노프스키,20172064,마더!
123,0,나루시마 이즈루,20176761,잠깐만 회사 좀 관두고 올게
124,0,신수원,20164481,유리정원
125,0,룬 스파안스,20174103,배저로와 친구들: 신비한 모험
126,0,김주환,20162442,청년경찰
127,0,장훈,20162869,택시운전사
128,0,박훈정,20164174,브이아이피
129,0,데이빗 레이치,20179491,아토믹 블론드
130,0,허정,20151003,장산범
131,0,이덕희,20179407,로마의 휴일
132,0,맷 리브스,20179901,혹성탈출: 종의 전쟁
133,0,최승호,20179187,공범자들
134,0,안드레스 무시에티,20179696,그것
135,0,소피아 코폴라,20170268,매혹당한 사람들
136,0,닛타 노리오,20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계
137,0,최진성,20171923,저수지 게임
138,0,레오폴도 아귈라,20172148,몬스터 섬의 비밀
139,0,이마이즈미 리키야,20160703,"좋아해, 너를"
140,0,더그 라이만,20177541,아메리칸 메이드
141,0,후안 안토니오 바요나,20170607,몬스터 콜
142,0,테일러 쉐리던,20170302,윈드 리버
143,0,류승완,20161481,군함도
144,0,제임스 그레이,20168241,잃어버린 도시 Z
145,0,피에르 꼬팽,20173403,슈퍼배드 3
146,0,크리스토퍼 놀란,20164621,덩케르크
147,0,존 와츠,20167303,스파이더맨: 홈 커밍
148,0,하시모토 마사카즈,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이
149,0,에이슬링 월쉬,20174801,내 사랑
150,0,조하네스 로버츠,20177181,47 미터
151,0,롭 라이너,20177501,플립
152,0,브라이언 피,20175522,카3: 새로운 도전
153,0,시즈노 코분,20170124,명탐정 코난:진홍의 연가
154,0,토니 레온디스,20179186,이모티: 더 무비
155,0,데이비드 F. 샌드버그,20161081,애나벨 : 인형의 주인
156,0,엘레노어 코폴라,20178762,파리로 가는 길
157,0,제레미 드그루손,20178641,빅풋 주니어
158,0,다카하시 아츠시,20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험
159,0,마누크 데포얀,20179226,드래곤 스펠: 마법 꽃의 비밀
160,0,니콜라이 아르셀,20170022,다크타워: 희망의 탑
161,0,김종관,20165001,더 테이블
162,0,매니 에르난데스,20170389,극장판 위 베어 베어스: 곰 브라더스
163,0,이준익,20178982,박열
164,0,마이클 베이,20166967,트랜스포머: 최후의 기사
165,0,이사랑,20159647,리얼
166,0,봉준호,20158485,옥자
167,0,알렉스 커츠먼,20166488,미이라
168,0,조선호,20166384,하루
169,0,켈리 프레몬,20176961,지랄발광 17세
170,0,정병길,20162343,악녀
171,0,정량,20178121,부니베어: 로거빅 컴백홈 프로젝트
172,0,에반 트라멜,20175821,언더더씨
173,0,존 카메론 밋첼,20020186,헤드윅
174,0,이창재,20174602,노무현입니다
175,0,홍상수,20176102,그 후
176,0,히시다 마사카즈,20176983,킹 오브 프리즘 - 프라이드 더 히어로
177,0,케이트 쇼트랜드,20176511,베를린 신드롬
178,0,---,20179807,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU]
179,0,토비 젠켈,20176741,꼬마참새 리차드: 아프리카 원정대
180,0,데이비드 스토튼,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기
181,0,크리스토퍼 놀란,20081056,다크 나이트
182,0,블라디미르 토로프킨,20177761,오즈: 신기한 마법가루
183,0,존 건,20176562,예수는 역사다
184,0,---,20179245,판타스틱 단편 걸작선 1
185,0,마크 펠링톤,20176781,내가 죽기 전에 가장 듣고 싶은 말
186,0,존 R. 레오네티,20177701,위시 어폰
187,0,테렌스 맬릭,20178646,송 투 송
188,0,팻티 젠킨스,20168261,원더 우먼
189,0,정윤철,20169348,대립군
190,0,에스펜 샌버그,20170982,캐리비안의 해적: 죽은 자는 말이 없다
191,0,조던 필,20175262,겟 아웃
192,0,라이 루소 영,20174803,7번째 내가 죽던 날
193,0,미츠나카 스스무,20162629,하이큐!! 끝과 시작
194,0,츠키카와 쇼,20173642,너와 100번째 사랑
195,0,야마구치 켄타로,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생
196,0,톰 맥그라스,20174061,보스 베이비
197,0,다라 오코넬,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널
198,0,이영준,20175581,파워배틀 와치카: 와치가면의 역습
199,0,조현훈,20160483,꿈의 제인
200,0,마츠오카 조지,20173833,심야식당 2
201,0,타다 슌스케,20175142,극장판 쿠로코의 농구 라스트 게임
202,0,신준,20168041,용순
203,0,양선,20175423,나의 붉은고래
204,0,폴 버호벤,20175662,엘르
205,0,테레사 스트로젝,20172241,꼬마돼지 베이브의 대모험
206,0,제임스 폰솔트,20176201,더 서클
207,0,대런 린 보우즈만,20175982,다크 하우스
208,0,피터 시걸,20040526,첫키스만 50번째
209,0,문현성,20161726,임금님의 사건수첩
210,0,박인제,20162871,특별시민
211,0,F. 게리 그레이,20167542,분노의 질주: 더 익스트림
212,0,캘리 애스버리,20161665,스머프: 비밀의 숲
213,0,고동우,20174165,극장판 또봇: 로봇군단의 습격
214,0,빌 콘돈,20164721,미녀와 야수
215,0,김형협,20151227,아빠는 딸
216,0,홍주연,20173301,"서서평, 천천히 평온하게"
217,0,믹 잭슨,20164829,나는 부정한다
218,0,스튜어트 하젤딘,20172541,오두막
219,0,제임스 건,20163603,가디언즈 오브 갤럭시 VOL. 2
220,0,김형주,20162722,보안관
221,0,임아론,20173061,슈퍼 빼꼼: 스파이 대작전
222,0,알버토 마르,20174501,오즈의 마법사 2
223,0,야마다 나오코,20170321,목소리의 형태
224,0,정식,20156708,석조저택 살인사건
225,0,장 피에르 다르덴,20163185,언노운 걸
226,0,리들리 스콧,20179382,에이리언: 커버넌트
227,0,가이 리치,20173961,킹 아서: 제왕의 검
228,0,도미니크 아벨,20174721,로스트 인 파리
229,0,타파스 차크라바르티,20172522,정글북
