movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
해피 데스데이,164932.0,8.32,0.0,8.22
저스티스 리그,116866.0,7.9,5.83,7.74
범죄도시,161242.0,9.28,6.0,9.14
부라더,160749.0,7.83,5.8,7.27
미옥,142317.0,6.99,4.33,4.99
토르: 라그나로크,134898.0,9.02,6.13,8.83
7호실,155715.0,7.12,6.43,6.55
침묵,153642.0,8.25,6.09,7.78
러빙 빈센트,144379.0,9.17,7.5,9.21
채비,162932.0,8.81,5.0,8.73
너의 췌장을 먹고 싶어,159830.0,8.36,5.29,8.05
꾼,152385.0,8.32,4.4,7.63
남한산성,150637.0,8.17,7.5,8.05
손오공,163365.0,0.0,0.0,0.0
신과함께-죄와 벌,85579.0,8.73,5.92,7.84
"러브, 어게인",158630.0,8.24,0.0,6.99
발레리안: 천 개 행성의 도시,137970.0,8.11,5.56,7.8
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,169262.0,9.18,0.0,7.01
무한의 주인,156463.0,0.0,0.0,0.0
강철비,155665.0,8.73,7.18,8.34
1987,158191.0,9.31,8.08,9.24
벤자민 버튼의 시간은 거꾸로 간다,66091.0,9.52,7.09,8.89
오리엔트 특급 살인,154272.0,7.87,5.88,8.02
로마서 8:37,168172.0,9.0,6.29,8.53
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,158576.0,8.76,0.0,8.66
역모 - 반란의 시대,142210.0,6.67,3.33,3.84
하이큐!! 재능과 센스,169348.0,9.56,0.0,9.2
모범생,107962.0,9.5,0.0,4.99
직쏘,152268.0,0.0,4.0,7.27
유리정원,149517.0,8.18,6.0,6.94
성판17: 남자들의 17가지 성적 판타지,168520.0,0.0,0.0,8.6
미스 프레지던트,162420.0,8.16,6.75,6.59
메소드,165669.0,8.08,4.83,8.25
"나는 내일, 어제의 너와 만난다",157178.0,8.44,6.0,8.81
반드시 잡는다,155411.0,8.12,6.5,7.51
빌리 진 킹: 세기의 대결,144171.0,8.82,7.2,7.43
대장 김창수,154353.0,8.46,4.67,6.91
아이 캔 스피크,161850.0,9.23,7.25,9.36
원스,65998.0,9.17,7.5,8.99
타임 투게더,149501.0,9.0,4.0,8.73
리빙보이 인 뉴욕,99093.0,8.19,5.17,7.47
살인자의 기억법,137890.0,8.17,5.78,7.69
기억의 밤,160399.0,8.41,5.67,8.16
히트,17327.0,9.3,8.0,9.11
아기와 나,154986.0,8.0,6.25,7.06
배드 지니어스,163386.0,8.76,6.4,8.61
배트맨 대 슈퍼맨: 저스티스의 시작,109960.0,7.16,5.95,6.85
폭력의 씨앗,162151.0,8.52,6.33,6.07
뉴니스,168551.0,8.3,5.25,8.01
그들이 진심으로 엮을 때,159648.0,8.85,6.67,8.91
지오스톰,129095.0,8.11,5.5,7.45
키드냅,164986.0,10.0,5.5,6.91
이프 온리,39440.0,9.24,6.0,9.08
이수아,164601.0,9.5,0.0,5.0
킹스맨: 골든 서클,149747.0,8.61,5.0,8.39
래빗 스쿨,166008.0,8.56,0.0,8.83
피터와 모글리의 크리스마스 어드벤처,169850.0,7.4,0.0,7.05
어쌔신: 더 비기닝,100205.0,8.06,5.5,6.93
스타워즈: 라스트 제다이,125488.0,7.8,7.71,6.59
메리와 마녀의 꽃,159037.0,7.92,5.83,7.1
버닝,155263.0,7.82,7.69,6.59
딥씨 챌린지,127466.0,9.0,5.75,8.14
