director,movieCd,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
연상호,20168323,염력,153651.0,6.21,6.0,4.99
최성현,20176104,그것만이 내 세상,158180.0,9.17,5.2,8.91
애덤 로비텔,20178126,인시디어스4: 라스트 키,158647.0,7.32,5.33,6.85
리 언크리치,20179985,코코,151728.0,9.2,8.0,9.25
김용화,20150976,신과함께-죄와 벌,85579.0,8.73,5.92,7.84
웨스 볼,20175054,메이즈 러너: 데스 큐어,149248.0,8.16,5.0,7.85
니콜라이 퓰시,20178395,12 솔져스,168037.0,9.66,5.0,8.14
장준환,20170590,1987,158191.0,9.31,8.08,9.24
노엘 클리어리,20179228,마야2,172009.0,9.14,6.0,9.36
김석윤,20179205,조선명탐정: 흡혈괴마의 비밀,165748.0,7.52,5.17,6.63
리들리 스콧,20178469,올 더 머니,163842.0,8.52,7.0,7.96
제임스 카메론,19980074,타이타닉,18847.0,9.86,9.33,9.32
마틴 캠벨,20189901,더 포리너,165791.0,9.5,5.67,7.75
폴 킹,20178672,패딩턴 2,146489.0,9.13,7.67,9.12
임순례,20170841,리틀 포레스트,154449.0,9.01,6.36,8.76
라이언 쿠글러,20170561,블랙 팬서,137326.0,8.33,6.67,7.51
노동석,20168250,골든슬럼버,158112.0,6.29,5.0,5.25
야마모토 야스이치로,20078561,명탐정 코난:감벽의 관,66725.0,8.59,5.0,8.42
마이클 그레이시,20179462,위대한 쇼맨,106360.0,9.29,6.6,9.38
변성현,20164844,불한당: 나쁜 놈들의 세상,154112.0,8.15,5.83,6.21
토미 위르콜라,20177946,월요일이 사라졌다,118955.0,8.5,5.25,8.32
제임스 폴리,20180542,50가지 그림자: 해방,154598.0,8.37,2.67,7.95
기예르모 델 토로,20173436,셰이프 오브 워터: 사랑의 모양,158626.0,8.68,8.18,8.36
등위봉,20189882,반딧불이 딘딘,171767.0,7.78,6.0,7.9
홍창표,20150969,궁합,141206.0,7.49,4.0,6.48
히로키 류이치,20179731,나미야 잡화점의 기적,159862.0,7.66,5.75,7.34
프란시스 로렌스,20180341,레드 스패로,151744.0,8.54,5.33,8.55
스티븐 스필버그,20189861,더 포스트,159848.0,8.81,7.63,8.76
신재호,20189663,게이트,172005.0,9.05,3.0,3.65
양우석,20170402,강철비,155665.0,8.73,7.18,8.34
유야마 쿠니히코,20174965,극장판 포켓몬스터 너로 정했다!,165722.0,8.91,6.0,8.85
호거 태프,20176082,몬스터 패밀리,163844.0,8.31,6.0,8.33
스티븐 크보스키,20176947,원더,151196.0,9.43,6.86,9.42
김현호,20174846,뽀로로 극장판 공룡섬 대모험,169349.0,9.21,0.0,9.17
모리와키 마코토,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,168501.0,8.25,4.0,8.14
라이언 존슨,20170443,스타워즈: 라스트 제다이,125488.0,7.8,7.71,6.59
제이크 캐스단,20171909,쥬만지: 새로운 세계,152656.0,8.44,5.33,7.91
